Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
*NSFW* VALORANT,starsmitten,2022-08-26T19:00:07Z,10:39,44,3176,56169,Lc0IrV_zAWI,https://www.youtube.com/watch?v=Lc0IrV_zAWI
we played the LONGEST VALORANT GAME in twitch rivals... (36 rounds),starsmitten,2021-03-13T20:00:06Z,39:13,130,4620,141103,bhokXzBh1J4,https://www.youtube.com/watch?v=bhokXzBh1J4
i tried playing solo queue valorant on korean servers,starsmitten,2021-04-25T19:00:03Z,15:41,156,6673,108926,7oHYpE-lMKA,https://www.youtube.com/watch?v=7oHYpE-lMKA
