,Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url,Comment ID,Comment,Likes,Replies,Video ID
23,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwsWHPnMMvthiYEMhN4AaABAg,the drunk danny jett for the thumbnail art is so cute. congrats on doing so well in the tourney!!! TEAM LILY!!!!,48,0,Kl2XzD5DMoY
24,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwzmzbIS9S1J0FG-oZ4AaABAg,I watched the whole thing live and I&#39;m just gonna say Sykkuno you&#39;re cracked!! Good job on the tournament :),39,0,Kl2XzD5DMoY
25,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugz6sQ43BQWj5q2uq8d4AaABAg,"jodi is really good but the <a href=""https://www.youtube.com/watch?v=Kl2XzD5DMoY&amp;t=25m42s"">25:42</a> caught me off guard. she&#39;d ALMOST gotten yvonne but sykkuno was at market (jodi didnt know) and manage to help yvonne. that was a good game !!",14,0,Kl2XzD5DMoY
26,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxNMQ7za3GjibVLr7d4AaABAg,100% echoing this: Sykkuno has the duality of an iron and a radiant XD,49,0,Kl2XzD5DMoY
27,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwYK1kh0R7QUedDxVh4AaABAg,Love that Sykkuno got the winning shot on that 32 round game,14,0,Kl2XzD5DMoY
28,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwsXSa3DCE9iIstO0Z4AaABAg,"Danny &amp; Sean really ² crack. Sykkuno, Lily &amp; Yvonne surprisingly crack. Team&#39;s synergy bring them to runner-up. Really enjoyed the whole tournament.",13,0,Kl2XzD5DMoY
29,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugzk-77kEDSsDyrMTOp4AaABAg,I enjoyed this tournament so much team lily did so good,36,0,Kl2XzD5DMoY
30,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyPJRadGfbG73jJ71h4AaABAg,THAT ENDING WAS SO SAD BUT SO INSPIRATIONAL AT THE SAME TIME,23,0,Kl2XzD5DMoY
31,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugyb5O9uwYs3Nbwi-ql4AaABAg,I had the best time watching your team’s games! Ahhhhh! Congrats to team lily!,23,0,Kl2XzD5DMoY
32,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugyduhi832QUApntFIF4AaABAg,Love it &lt;3 teamwork was really impressive <b>A</b> you did great in the tournament! GG,24,0,Kl2XzD5DMoY
33,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyMmvpM_E8D5qIoESZ4AaABAg,Can we take a moment to appreciate the editing? It’s just so good.,1,0,Kl2XzD5DMoY
34,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzxvYjyCGSP19Sqsw54AaABAg,Even at the finals they were neck and neck with the scores 🙆‍♀️ amazing,5,0,Kl2XzD5DMoY
35,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyjtzYEP_jwg8OLbqV4AaABAg,watching sykkuno play valo is always a joy whether hes winning or losing,2,0,Kl2XzD5DMoY
36,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugz_fIUhQKzcdD_Oen14AaABAg,"So much planning, an energetic team, they did so well and worked together using Communication.",6,0,Kl2XzD5DMoY
37,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugwns0TBr2YjGE-GpSF4AaABAg,I loved watching team Lily! They all played so well as a team ^^,2,0,Kl2XzD5DMoY
38,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwqoCbfmsk0wakf60F4AaABAg,"And the fact that they wanted to play one last time and end with a win (which they eventually did); that&#39;s how much Team Lily was the standout team of this tourney, even though it was for charity.",3,0,Kl2XzD5DMoY
39,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwL9g7FXG8FQxJm50F4AaABAg,The fact you guys won over Jody and John is so amazing! 👏,4,0,Kl2XzD5DMoY
40,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzyYT_XyZ77wl6yZJ54AaABAg,Your team actually did great sykkuno!!! The teamwork was amazing!!,1,0,Kl2XzD5DMoY
41,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxV1Jf69E9aAUtNkO54AaABAg,Spectacular team and performance! From skill to entertainment,1,0,Kl2XzD5DMoY
42,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugy2DnsdrVqTgzPAFJB4AaABAg,"The fact that they made it to the finals even if theyre the lowest rank player, the teamwork",1,0,Kl2XzD5DMoY
43,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugzz69rYpUjQ2VgVkHV4AaABAg,The overtime round was the highlight point lol back and forth &quot;a decade off my life&quot;,15,0,Kl2XzD5DMoY
44,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwDHbWj3ZGyKEPvb8R4AaABAg,"Honestly - if the lowest ranked team makes it to the finals, someone needs to remake the ranking process... XD",8,0,Kl2XzD5DMoY
45,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxkCV7DnETVwbdDHoh4AaABAg,sykkuno&#39;s plot armor is activated... and buff his team...,45,0,Kl2XzD5DMoY
46,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxmbVkbt3-r2dTSizp4AaABAg,"As the lowest ranked team, they are one of the teams that have a great unexpected chemistry",0,0,Kl2XzD5DMoY
47,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgySZyPdy4dRYV4w1zl4AaABAg,Team Lily did so well!! im gonna need them to play more games together,0,0,Kl2XzD5DMoY
48,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugw0KBTJuZW-Y6c-b6l4AaABAg,"This editor is really good, making some funny and cool clips",0,0,Kl2XzD5DMoY
49,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyqvUkUy4VNUlEIr794AaABAg,Last time Lily&#39;s team won in LoL now she&#39;s winning in Valorant,5,0,Kl2XzD5DMoY
50,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgztJELVORUXfIOXjj94AaABAg,THE SYNERGY!!! I play valorant with my friends and none of us can cordinate as well as team lily did!,0,0,Kl2XzD5DMoY
51,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugzj4_23Q2u8RQdDRo54AaABAg,THIS TEAM WAS SO GOOD AHH,24,0,Kl2XzD5DMoY
52,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwjlJQmc4GzZ_HY0OJ4AaABAg,Lily&#39;s team was the best underrated team,11,0,Kl2XzD5DMoY
53,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyHGwMFRAUWBDGaMkB4AaABAg,I love syk&#39;s editors so much...they are the reason I can never get tired of watching sykkuno...,0,0,Kl2XzD5DMoY
54,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzI9jsPjYwWKyBU9nt4AaABAg,ive seen it live but sykkuno&#39;s sadge farming at the end got me in my feels again :&#39;(,3,0,Kl2XzD5DMoY
55,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwRmRUf5ZRYScjEpKN4AaABAg,Yeah team scarra was just way to good. But this team was the team that I thought would really win,30,0,Kl2XzD5DMoY
56,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyqdgK_O5qzd1YAP_p4AaABAg,YOU DID GREAT TEAM LILY!!,1,0,Kl2XzD5DMoY
57,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugzx5SLgKguWnqEMtzF4AaABAg,Everytime I watch this I keep laughing at the first fight with the knives and the slow music and slomo video editing. It&#39;s too funny and dramatic XD especially with Toast&#39;s team moving side ways in sync<br>🤣,0,0,Kl2XzD5DMoY
58,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugz_GiNRw33F5rk2-0x4AaABAg,This was beautifully edited,5,0,Kl2XzD5DMoY
59,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxVwYr5a7dmpI6uB-94AaABAg,So good!!! Enjoyed every min ✨☺️,3,0,Kl2XzD5DMoY
60,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwMChGyVGEbf7JkBc94AaABAg,I love the editing so much been cracking up the whole time,1,0,Kl2XzD5DMoY
61,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxDofdz8aOMvPcBNLB4AaABAg,Hope u have more tournament like this.<br>Rewatching for the 3rd time ksks,0,0,Kl2XzD5DMoY
62,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugyz7OPywNMeoGc97-h4AaABAg,Team Lily hustled this tournament so well xD,1,0,Kl2XzD5DMoY
63,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzOTc2Y1Ge3qL_4Qs54AaABAg,Don’t feel down about a silly tournament you guys kicked ass,0,0,Kl2XzD5DMoY
64,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugy-zUHgZUsYeYGUFPZ4AaABAg,I love them. Team lily was amazing,4,0,Kl2XzD5DMoY
65,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyRGclUMl8UzkpH4Dx4AaABAg,LMAOOO I LOVE THE 5HEAD EDIT ON SYKKUNO ITS SO FUNNY!! AHH CHEMBERKKUNO IS JUST SO DAMN COOL WE NEED MORE CHAMBERKKUNO,12,0,Kl2XzD5DMoY
