Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
KYEDAE CARRIES OTV IN VALORANT !!! W/ Pokimane & LilyPichu,Kyedae,2022-10-23T22:55:26Z,10:1,111,7431,196388,3FM3pD6MOsM,https://www.youtube.com/watch?v=3FM3pD6MOsM
Kyedae & TenZ GO UNDERCOVER IN VALORANT | Part 2,Kyedae,2022-06-29T02:36:50Z,9:7,257,14145,381708,AWvYn5XDfGU,https://www.youtube.com/watch?v=AWvYn5XDfGU
I REACHED ASCENDANT !!! | Kyedae's Road to Radiant,Kyedae,2022-08-23T22:19:07Z,8:55,476,18037,488986,QkPHGqAAMk0,https://www.youtube.com/watch?v=QkPHGqAAMk0
"ROOMIES VALORANT! ft. Valkyrae, Sykkuno, Kkatamina, Yvonnie",fuslie,2022-04-18T21:00:08Z,39:45,75,5493,135736,A6NCiTF9quA,https://www.youtube.com/watch?v=A6NCiTF9quA
"THE CRAZIEST VALORANT GAME EVER!! ft. Valkyrae, Sykkuno, Ryan Higa, Edison",fuslie,2021-02-23T22:00:05Z,23:32,330,15455,337497,94tSI72VEXg,https://www.youtube.com/watch?v=94tSI72VEXg
I GOT HUMBLED BY RANDOMS IN VALORANT...,fuslie,2021-11-28T22:00:01Z,30:21,237,7934,117939,3MCR4vfhiFI,https://www.youtube.com/watch?v=3MCR4vfhiFI
i never know what side we are on in valorant...,fuslie,2022-02-01T02:30:10Z,13:32,65,3661,49180,H_XtS3CC2Hs,https://www.youtube.com/watch?v=H_XtS3CC2Hs
I MET THE CUTEST KIDS IN VALORANT AND RAIDED THEIR STREAM!,fuslie,2021-07-06T21:00:09Z,36:24,553,17817,225785,S8-c4cgWVgk,https://www.youtube.com/watch?v=S8-c4cgWVgk
One of the BEST Plays I have Ever Done...,tarik,2022-11-29T03:00:13Z,15,18,1110,17016,Ey87V50grtU,https://www.youtube.com/watch?v=Ey87V50grtU
This is Why I Hate Valorant,tarik,2022-11-28T23:00:53Z,11:28,137,6271,126033,CnK0b8wYg54,https://www.youtube.com/watch?v=CnK0b8wYg54
"""I am so close to being Rank 1...""",tarik,2022-11-22T04:00:07Z,11:52,264,11666,242160,VAvRll9x3cs,https://www.youtube.com/watch?v=VAvRll9x3cs
"How I won a $50,000 PRO VALORANT Tournament...",tarik,2022-11-09T11:56:08Z,41:22,354,25675,572368,njT5xIAQ4Gs,https://www.youtube.com/watch?v=njT5xIAQ4Gs
"WHAT 100,000 HOURS OF CS:GO LOOKS LIKE IN VALORANT",tarik,2022-11-23T14:24:03Z,10:59,155,11257,220387,7VyT-hSawkE,https://www.youtube.com/watch?v=7VyT-hSawkE
Tons Of Tips About The Post Plant | Sage To Ascendant,MrLowlander,2022-11-28T10:44:20Z,10:25,153,3220,46259,KHUibY5wLHA,https://www.youtube.com/watch?v=KHUibY5wLHA
The BEST Valorant Aces,MrLowlander,2022-11-18T09:04:29Z,8:20,340,5743,106291,x2f1_FCMvBY,https://www.youtube.com/watch?v=x2f1_FCMvBY
50 THINGS YOU DIDN'T KNOW ABOUT VALORANT,MrLowlander,2021-01-05T11:12:17Z,8:28,2231,55452,1417584,CfpcMordhrk,https://www.youtube.com/watch?v=CfpcMordhrk
"I Played Nonstop Omen For 1 Month, Here's What I Learned",MrLowlander,2022-11-03T09:51:10Z,8:20,201,5672,103780,6WPxQL5TOKo,https://www.youtube.com/watch?v=6WPxQL5TOKo
3 WEAKNESSES FOR EVERY AGENT - Valorant,MrLowlander,2022-10-03T08:52:09Z,9:59,397,14334,356224,lLn7qB7VRI4,https://www.youtube.com/watch?v=lLn7qB7VRI4
AIM is NOT everything in Valorant,noted,2022-11-14T15:00:05Z,8:48,163,7548,189475,4UGYrP5Y9Ts,https://www.youtube.com/watch?v=4UGYrP5Y9Ts
1 ACE for each collection - Valorant,noted,2022-11-16T15:00:13Z,10:47,146,3875,87238,Hz_gnr7Pk7A,https://www.youtube.com/watch?v=Hz_gnr7Pk7A
*No Bs* How to STRAFE & SHOOT n0ted style - Valorant,noted,2022-03-28T00:54:10Z,15:9,592,38182,629313,ZRUq_kmDBPc,https://www.youtube.com/watch?v=ZRUq_kmDBPc
How I'm at the top 0.1% Playing AGRESSiVE PHOENIX (RADIANT.EXE) - Valorant,noted,2022-07-23T00:31:39Z,10:14,205,7194,181345,1NJP6IvrmbI,https://www.youtube.com/watch?v=1NJP6IvrmbI
noted's peeking guide *NO BS* | Valorant,noted,2022-10-24T15:44:10Z,21:57,302,9181,98503,QNh0xj1EyH0,https://www.youtube.com/watch?v=QNh0xj1EyH0
So I decided to become a CHAMBER Main... 🎯,Flexinja,2022-11-06T12:48:18Z,10:5,68,1646,31584,_skBFVuagzw,https://www.youtube.com/watch?v=_skBFVuagzw
"""OMEN YOU NEED TO RELAX...""",Flexinja,2022-11-28T07:51:20Z,9,61,1428,28772,_XFdf8byqSE,https://www.youtube.com/watch?v=_XFdf8byqSE
"""OMEN YOU'RE NOT WINNING THIS...""",Flexinja,2022-11-10T13:15:58Z,9:44,48,1606,36627,JJywNsbSx2M,https://www.youtube.com/watch?v=JJywNsbSx2M
"""OMEN IS A DUELIST...""",Flexinja,2022-11-25T18:10:23Z,8:51,54,1897,41875,C2_pR7NfISA,https://www.youtube.com/watch?v=C2_pR7NfISA
BEST Aggressive HARBOR plays on Valorant 😈,Flexinja,2022-10-14T07:32:40Z,8:44,201,7482,271217,4uuJQD5YDeo,https://www.youtube.com/watch?v=4uuJQD5YDeo
Reyna instalocks Reyna,QuarterJade,2022-10-16T20:17:34Z,14:44,130,10526,203482,mI-xOHNYc0o,https://www.youtube.com/watch?v=mI-xOHNYc0o
back to immortal,QuarterJade,2022-08-10T20:35:30Z,15:4,84,9507,177243,Ken8jHFMuaw,https://www.youtube.com/watch?v=Ken8jHFMuaw
the craziest ace of my life,QuarterJade,2022-03-17T20:40:31Z,12:3,96,9038,165493,xNYgfGTzcRc,https://www.youtube.com/watch?v=xNYgfGTzcRc
this is better than immortal gameplay,QuarterJade,2022-09-30T19:06:25Z,13:27,100,8112,146055,MqUA5gUOPjQ,https://www.youtube.com/watch?v=MqUA5gUOPjQ
Best of QuarterJade - October 2022,QuarterJade,2022-11-27T18:06:36Z,19:4,53,4012,61657,0jZX2ZakbJY,https://www.youtube.com/watch?v=0jZX2ZakbJY
Hiko Has The Most INSANE KAY/O Plays in VALORANT!,Hiko,2022-11-29T16:30:03Z,11:26,5,53,737,XF6c2P5fCYc,https://www.youtube.com/watch?v=XF6c2P5fCYc
WHAT IT'S LIKE TO PLAY VALORANT WITH A2GUAPO...,Hiko,2022-11-08T16:30:10Z,11:41,35,702,15762,uohtZWBes5Q,https://www.youtube.com/watch?v=uohtZWBes5Q
How To WIN with INTING TEAMMATES in VALORANT!,Hiko,2022-11-24T16:30:02Z,10:3,9,587,12366,F11-GdPhZZg,https://www.youtube.com/watch?v=F11-GdPhZZg
HIKO'S FIRST GAME WITH HARBOR | THE MOST FUN VALORANT AGENT TO PLAY,Hiko,2022-10-17T15:30:05Z,10:39,31,1048,38351,TZz5OcpZ1zE,https://www.youtube.com/watch?v=TZz5OcpZ1zE
"VALORANT'S DEATH SQUAD ft. SHROUD, NINJA, & JORDAN FISHER",Hiko,2020-08-24T19:34:38Z,15:27,481,14602,515835,Z0OfhlIuU4U,https://www.youtube.com/watch?v=Z0OfhlIuU4U
Destroying people who think Yoru is bad in Valorant...,Red,2022-11-24T17:19:44Z,8:17,113,2793,53442,xAGnbwIQ3t8,https://www.youtube.com/watch?v=xAGnbwIQ3t8
START YORU FLASHING LIKE THIS.... (100% better),Red,2022-11-27T16:37:00Z,8:2,71,2820,61525,j65QlUsU0gQ,https://www.youtube.com/watch?v=j65QlUsU0gQ
"""Yoru I hope you die in the game""",Red,2022-10-16T13:00:14Z,8:2,185,4750,99288,ULGcpKaoNz0,https://www.youtube.com/watch?v=ULGcpKaoNz0
NEW ION 2.0 SKINS ARE 100% AIMBOT in VALORANT (NO JOKE!),Red,2022-10-18T19:03:15Z,8:15,256,5844,169910,xsJsCuFk-GM,https://www.youtube.com/watch?v=xsJsCuFk-GM
THE FORBIDDEN YORU STRATEGY...,Red,2022-10-25T15:12:57Z,9:5,106,3867,86202,pRyFSFszEY0,https://www.youtube.com/watch?v=pRyFSFszEY0
HARBOR SPEEDRUN,Keeoh,2022-10-19T16:30:03Z,24:22,756,13050,292809,Ph5xr2ofaMc,https://www.youtube.com/watch?v=Ph5xr2ofaMc
CYPHER SPEEDRUN,Keeoh,2022-11-27T15:00:05Z,18:14,680,7808,118411,CFlUSWXDB14,https://www.youtube.com/watch?v=CFlUSWXDB14
Fade SPEEDRUN (Full Series) Valorant,Keeoh,2022-08-11T16:00:21Z,3:10:25,147,4384,412277,RcG8Xg0J8Hk,https://www.youtube.com/watch?v=RcG8Xg0J8Hk
Harbor has a FLASH?? (#6),Keeoh,2022-11-01T16:00:20Z,16:59,179,5742,123946,fltOj2Kwul8,https://www.youtube.com/watch?v=fltOj2Kwul8
Coaching the TikTok Valorant KING,Keeoh,2022-09-16T17:30:03Z,24:6,132,4453,80308,h1aCF480sn0,https://www.youtube.com/watch?v=h1aCF480sn0
Killing Streamers with the Griddy Swing,Ziptie,2022-11-25T13:00:03Z,10:55,650,24057,564734,6iGaCmbgxKw,https://www.youtube.com/watch?v=6iGaCmbgxKw
"I Played Yoru for 485 Days Straight, Here's the Result...",Ziptie,2022-09-11T12:00:13Z,11:1,714,28880,721963,tz8VBJs97D8,https://www.youtube.com/watch?v=tz8VBJs97D8
The Two Most UNDERRATED Agents in Valorant…,Ziptie,2022-10-13T12:00:12Z,10:47,472,11592,243498,yG2cNCs5csE,https://www.youtube.com/watch?v=yG2cNCs5csE
Invisible Flashes are Destroying Valorant...,Ziptie,2022-11-09T13:00:14Z,10:30,484,23805,699069,VVg_51Pmtos,https://www.youtube.com/watch?v=VVg_51Pmtos
Destroying RADIANT Streamers with Yoru…,Ziptie,2022-11-16T13:00:22Z,11:44,762,11219,194618,i838OEsqP90,https://www.youtube.com/watch?v=i838OEsqP90
HOW WE GOT BANNED FROM SPIKE RUSH... (VALORANT MONTAGE AND HIGHLIGHTS),Jollztv,2022-11-29T15:00:35Z,9:33,31,477,3463,tl7NtGyt0Zg,https://www.youtube.com/watch?v=tl7NtGyt0Zg
"THIS SILVER PLAYER HAS THE BEST AIM I'VE EVER SEEN (RADIANT COACHING, TIPS AND TRICKS)",Jollztv,2022-07-26T20:00:00Z,11:14,229,5958,136687,20rtvKv3OJY,https://www.youtube.com/watch?v=20rtvKv3OJY
"HIGH SENSITIVITY IS BETTER. (RADIANT COACHING, TIPS AND TRICKS)",Jollztv,2022-10-07T20:00:12Z,10:35,274,6942,154881,9y5dUMp-D7g,https://www.youtube.com/watch?v=9y5dUMp-D7g
My secret weekend escapades exposed 😳😳 #valorant #valorantclips #valoranthighlights #radiant #shorts,Jollztv,2022-11-29T07:00:29Z,23,5,643,8175,zA623AZAeLg,https://www.youtube.com/watch?v=zA623AZAeLg
"THE MOST IMPRESSIVE PLAYER IN VALORANT (AND THEY'RE ONLY PLAT?) (RADIANT COACHING, TIPS AND TRICKS)",Jollztv,2022-10-08T20:00:09Z,15:51,245,5707,119397,IZ-ecS-wZfc,https://www.youtube.com/watch?v=IZ-ecS-wZfc
The FASTEST Ace in Valorant History?!,xChocoBars,2022-08-12T19:00:00Z,18,12,805,13897,-eo0pv2AOKI,https://www.youtube.com/watch?v=-eo0pv2AOKI
"THE NEW AGENT IS INSANE! ft. QuarterJade, PeterParkTV & friends | Valorant | xChocoBars",xChocoBars,2021-03-05T22:00:02Z,14:48,36,1620,27106,6HWEI-Kpz-Q,https://www.youtube.com/watch?v=6HWEI-Kpz-Q
Shroud Hits a Triple Wallbang in 5 seconds?!,xChocoBars,2022-08-09T18:30:27Z,18,34,2887,71116,HeGioA2r8Yw,https://www.youtube.com/watch?v=HeGioA2r8Yw
LATE NIGHT DRUNK VALORANT! | xChocoBars,xChocoBars,2021-08-27T23:00:04Z,22:3,25,1105,19810,KnS_XXxoJqk,https://www.youtube.com/watch?v=KnS_XXxoJqk
IS THAT THE REAL ZEDD?! | XCHOCOBARS VALORANT,xChocoBars,2020-05-20T22:01:15Z,12:8,65,1328,45847,JmfVlpZ7jxE,https://www.youtube.com/watch?v=JmfVlpZ7jxE
voice trolling as jett and chamber in valorant,vkimm,2022-11-04T14:00:07Z,10:44,112,7891,187114,B3q3y_eJrIk,https://www.youtube.com/watch?v=B3q3y_eJrIk
the female experience in valorant,vkimm,2022-04-09T14:00:21Z,9:5,221,4230,88939,kwU3s5zFIMo,https://www.youtube.com/watch?v=kwU3s5zFIMo
meeting perverts in valorant,vkimm,2021-12-16T21:58:26Z,10:44,530,5077,114325,wmdFQ9kybX4,https://www.youtube.com/watch?v=wmdFQ9kybX4
"valorant with kaemi, xirena, and juelia",vkimm,2022-07-04T14:00:00Z,8:1,157,11936,311663,a5pAf4LdjxM,https://www.youtube.com/watch?v=a5pAf4LdjxM
meeting sexist players in valorant,vkimm,2021-08-04T04:15:00Z,8:1,746,15171,379094,G_1OM7I5fgw,https://www.youtube.com/watch?v=G_1OM7I5fgw
I got coached by a PRO PLAYER (100T Cryo),xirena,2022-11-04T13:22:21Z,9:26,220,13753,272893,bmr3m33JKKo,https://www.youtube.com/watch?v=bmr3m33JKKo
Rizzing up Kaemi with a Cute Girl,xirena,2022-11-18T14:32:09Z,8:36,264,11015,193738,U5BfFtsJiEw,https://www.youtube.com/watch?v=U5BfFtsJiEw
Valorant but it's a TALENT SHOW,xirena,2022-11-25T13:00:50Z,10:8,341,8954,108064,U0Q0KYh-6-4,https://www.youtube.com/watch?v=U0Q0KYh-6-4
the most toxic valorant game i’ve played..,xirena,2022-06-03T14:07:30Z,10:36,1806,25309,606405,TjtofuZCAk8,https://www.youtube.com/watch?v=TjtofuZCAk8
i hired a boyfriend in valorant,xirena,2022-05-13T10:41:41Z,10:7,2279,104743,2078569,FFzh1KdbOSc,https://www.youtube.com/watch?v=FFzh1KdbOSc
The Most Annoying Valorant Player,Quarkwy,2022-11-26T01:55:23Z,14:21,128,1619,39478,ZwH1X1-iKZ8,https://www.youtube.com/watch?v=ZwH1X1-iKZ8
Ultimate Valorant Salty/Toxic/Rage Compilation,Quarkwy,2022-11-28T04:09:04Z,42:12,141,1188,24111,b_9FhWU5G-U,https://www.youtube.com/watch?v=b_9FhWU5G-U
want 13-0 in Valorant? use shotguns!,Quarkwy,2022-10-23T05:00:32Z,8:6,121,2242,73045,xjnO4ekzO0s,https://www.youtube.com/watch?v=xjnO4ekzO0s
What 500 Hours of Shotguns in Valorant looks like...,Quarkwy,2022-09-16T15:11:52Z,9:7,118,2410,72188,AqHBz2wM8qE,https://www.youtube.com/watch?v=AqHBz2wM8qE
Bringing Back Shotgun Sage in Valorant Ranked,Quarkwy,2022-11-21T23:09:09Z,11:4,41,1345,29371,6KXXAXeqkvo,https://www.youtube.com/watch?v=6KXXAXeqkvo
🔴 Ranked Cypher Cam Tricks in Action,Peak,2022-11-29T13:52:26Z,2:53:33,0,286,2784,DHstMJRAFUg,https://www.youtube.com/watch?v=DHstMJRAFUg
🔴 Ranked Cypher Cam Tricks in Action,Peak,2022-11-28T17:44:31Z,3:17:1,0,258,6553,f_mFpc-EJk8,https://www.youtube.com/watch?v=f_mFpc-EJk8
🔴 Live - Harbor New Valorant Agent Gameplay,Peak,2022-10-13T19:03:47Z,3:36:13,75,1449,52308,eQ6bARKcrS8,https://www.youtube.com/watch?v=eQ6bARKcrS8
What It's Like to Main Cypher in Ranked (With Notes),Peak,2022-09-22T20:16:55Z,8:3,72,2331,54005,x0UkrQZCWNo,https://www.youtube.com/watch?v=x0UkrQZCWNo
Smokes Won't Stop Cypher Main Brains,Peak,2022-09-02T19:49:27Z,8:2,51,2655,60496,CGBDPPX8uZM,https://www.youtube.com/watch?v=CGBDPPX8uZM
