,Comment ID,Comment,Likes,Replies
85,UgzHPCGjt8TgMbsBURZ4AaABAg,&quot;They&#39;re taking ranked too seriously&quot;<br><br>meanwhile the team comp is terrible compared to theirs lmao,0,0
86,UgyFXhyZqYmE7n1GUwN4AaABAg,"The subs are perfect dude, LOVE THIS",0,0
87,UgxPI9JNOog0a2YG1AZ4AaABAg,Actually hilarious when someone says “taking ranked to seriously” what does that mean? You’re suppose to take ranked seriously. If you just wanna play the game without strategy go to norms,0,0
88,UgzoGZyd7F8LlxF_CMF4AaABAg,You imagine streaming and saying stuff like that but yet getting slapped all over while the stream watches 🤣🤣🤣 its time to retire boys. That&#39;s embarrassing 😳,0,0
89,Ugx9vDRZQ3mUIDfGC094AaABAg,Them two just having fun playing their game. while these two shit talking them the entiree time xD,4,0
90,UgzNm-6Nw2CV9cmBjrR4AaABAg,Kid got absolutely dunked on,11,0
91,UgxmDX0oJnxN9SaA-iB4AaABAg,Lmao dashy playing with the big bois that’s great to see,0,0
92,UgyweobOcchrCtyUsyd4AaABAg,Lmao dashy playing with the big bois that’s great to see,0,0
93,UgzfEdkG2ROloWegsPZ4AaABAg,"No lie I&#39;ve never heard of Sinatraa, and I dont think I ever will after this lmao.",5,0
94,UgycL0y9gXIHM0vRoiV4AaABAg,Change video title to: <i>Schooling kids in Valorant?!</i>,8,0
95,Ugznz4TaQe9VAESpjEB4AaABAg,Hiko and shroud may be dinosaurs but they&#39;re up me with,0,0
96,Ugw8KEO-5v5B4kbntK94AaABAg,Sinatraa still being toxic since overwatch days. And the video clips back to hiko and shroud talking about CS days. i loved this video shroud your editor did an amazing job,1,0
97,UgyUdxpyGeHDheif1Z14AaABAg,"The fact that they call Shroud a boomer, yikes... That hurt, given how close I am to shrouds age",0,0
98,UgxxZqQTjUMm-hX4d-x4AaABAg,Sinatraa just malds in the mellowest way possible 😂,0,0
99,UgwLFirb0yOhz9l65xh4AaABAg,imagine calling a guy in his 20s &quot;ancient&quot; and then getting fuckin wrecked by him lmaooooo,0,0
100,Ugy0KiJYp0SPZTjRnyF4AaABAg,"<a href=""about:invalid#zCSafez""></a> YouTube said if you like the video - you will win your next Valorant game",911,17
101,UgwmbCuEt6shV8VjWbp4AaABAg,"Sinatra says you take ranked to serious, but then it cuts to a clip where you are being nostalgic about old cs days. Actual gold",2230,15
102,UgwwUPcRMDr9IH2KdGZ4AaABAg,Mr.Editor needs a raise. literally Pog edits. the small details are nice.,857,6
103,UgyWyIFL3TE9q3L2AI14AaABAg,Shroud and Hiko: <b>trolling</b><br>Sinatra: They&#39;re taking ranked too srsly,628,4
104,UgyAgn1-4lonch696Rx4AaABAg,"It feels appropriate those guys were calling you and Hiko old men, cut to you guys running through them and reminiscing about old CS days",1002,12
105,Ugy5BVKArSzwqq9WFuB4AaABAg,It makes me so happy seeing Sinatraa being toxic and just finding excuses why he just lost 1-13 to Shroud.,1561,46
106,Ugy8GMdLfpD8uvl6Jb14AaABAg,I can feel the brain cells leaving my body every time I hear Sinatraa talk,995,42
107,UgzbBY3Zc6mlwoqfAVt4AaABAg,Imagine that it&#39;s your literal job to play Valorant at a high level and you unironically say that someone you&#39;re losing to is taking a match too seriously,17,1
108,UgyuTfgGZq1m01FJlm14AaABAg,"God damn, sinatra getting shit on after calling you guys old and trying to be cool was incredibly satisfying. That dude is such a tool.",53,0
109,Ugzc9IgJhNrdMzROWJ14AaABAg,Hey shroud love your content keep it up man ❤,194,0
110,UgzFvXqpZd31gfE9GTt4AaABAg,It makes me so excited to see my two favorite cs Players playing together again now. Been watching both since 2014/15,19,0
111,UgzqD7mNA4Sg-GkHK1V4AaABAg,Okay shroud is a god tier gamer but this editing top tier too 👏👏,86,0
