Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
9 MINUTES OF SHROUD DESTROYING TRASH TALKERS IN VALORANT,Shroud,2022-10-01T13:01:41Z,9:39,685,22067,556437,DTuS6Bki9kI,https://www.youtube.com/watch?v=DTuS6Bki9kI
THIS VALORANT AGENT IS GONE WHEN HARBOR IS OUT,Shroud,2022-10-18T20:25:11Z,10:1,365,14567,435271,-Z2soOp0ZkQ,https://www.youtube.com/watch?v=-Z2soOp0ZkQ
SO WE TRIED A NEW JETT AND NEON COMBO IN VALORANT,Shroud,2022-10-30T14:24:11Z,10:18,203,9390,268993,ELNs_hXu1qQ,https://www.youtube.com/watch?v=ELNs_hXu1qQ
WHAT CS:GO MOVEMENT LOOKS LIKE IN VALORANT,Shroud,2022-10-07T16:00:03Z,8:54,312,18774,583025,Cow9Qa9759Y,https://www.youtube.com/watch?v=Cow9Qa9759Y
PHANTOM IS THE GOD GUN,Shroud,2022-09-01T10:15:00Z,13:19,331,16206,511699,cRzbBwK26l8,https://www.youtube.com/watch?v=cRzbBwK26l8
PHANTOM IS THE GOD GUN,Shroud,2022-09-01T10:15:00Z,13:19,331,16206,511699,cRzbBwK26l8,https://www.youtube.com/watch?v=cRzbBwK26l8
THIS Spot in The NEW Pearl Map IS TOO GOOD!,Shroud,2022-09-26T05:57:50Z,8:3,246,11284,288864,oa5KKLOy8Vg,https://www.youtube.com/watch?v=oa5KKLOy8Vg
SHROUD CARRYING WITH CHAMBER,Shroud,2022-07-08T04:37:45Z,10:26,286,15527,477105,2-ts-pTv5wY,https://www.youtube.com/watch?v=2-ts-pTv5wY
CAN 4 VALORANT PROS BEAT 5 RADIANTS?,Shroud,2022-10-14T17:10:13Z,10:16,222,10668,285516,_Ktomq5yor4,https://www.youtube.com/watch?v=_Ktomq5yor4
my LAST game of Valorant before I leave...,Shroud,2022-09-17T05:15:37Z,11:27,650,23904,708168,VBdAP-iAP68,https://www.youtube.com/watch?v=VBdAP-iAP68
We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,2021-12-26T15:00:09Z,30:15,400,32335,769787,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY
I couldn't believe I did this 1v5 ACE!,Sykkuno,2022-01-15T17:24:46Z,10:20,164,15987,338189,hHyUOwruyZE,https://www.youtube.com/watch?v=hHyUOwruyZE
Winning at Valorant by only going C,Sykkuno,2022-11-20T18:47:39Z,11:19,192,6571,92217,rMMFFE3BM5k,https://www.youtube.com/watch?v=rMMFFE3BM5k
I KNIFED A PRO PLAYER IN VALORANT!,Sykkuno,2022-04-09T14:47:01Z,14:25,201,14835,311517,Bxv9EEVwbRk,https://www.youtube.com/watch?v=Bxv9EEVwbRk
"Valorant but I always charge in like a MADMAN ft. Valkyrae, Blaustoise & friends",Sykkuno,2021-09-05T15:00:30Z,15:19,226,17893,325150,dLMqDiqxE2g,https://www.youtube.com/watch?v=dLMqDiqxE2g
I CAN'T BELIEVE SHE JUST DID THAT! - Valorant with friends!,Sykkuno,2021-06-21T03:00:07Z,14:30,301,17747,322402,AlrqNkTf0LA,https://www.youtube.com/watch?v=AlrqNkTf0LA
I KNIFED A PRO PLAYER IN VALORANT!,Sykkuno,2022-04-09T14:47:01Z,14:25,201,14835,311517,Bxv9EEVwbRk,https://www.youtube.com/watch?v=Bxv9EEVwbRk
League of Legends player plays VALORANT,Sykkuno,2020-04-11T14:34:54Z,11:34,192,5196,108750,9VYcATksKwU,https://www.youtube.com/watch?v=9VYcATksKwU
I thought I was gonna get carried...,Sykkuno,2022-03-20T15:00:30Z,11:55,177,16750,351987,ZTgNuJ_hf2E,https://www.youtube.com/watch?v=ZTgNuJ_hf2E
GAMES WITH TOAST THEN FALL GUYS THEN VALORANT PLACEMENTS !!,Sykkuno,2022-06-24T07:39:09Z,6:36,91,9972,271210,FTo_VyJJqpc,https://www.youtube.com/watch?v=FTo_VyJJqpc
I DROPPED A 41 KILL GAME IN RADIANT (Valorant),iiTzTimmy,2022-11-27T23:00:32Z,13:17,50,1842,57591,nHywtfQIwgw,https://www.youtube.com/watch?v=nHywtfQIwgw
VALORANT FOR 65 HOURS: The Film | Solo Iron-Radiant in One Stream Challenge,iiTzTimmy,2021-11-30T22:00:02Z,1:24:14,3691,131713,5103708,6YESOZ_tGWo,https://www.youtube.com/watch?v=6YESOZ_tGWo
SHOULD I GO PRO IN VALORANT?,iiTzTimmy,2022-11-25T23:00:04Z,8:8,95,1924,54125,2_7Pro9m07E,https://www.youtube.com/watch?v=2_7Pro9m07E
PLAYING AGAINST THE MOST STACKED RADIANT TEAM EVER,iiTzTimmy,2022-11-26T23:00:30Z,10:42,32,1584,43643,e8REhf2Feek,https://www.youtube.com/watch?v=e8REhf2Feek
IITZTIMMY VS. SEN TENZ,iiTzTimmy,2022-08-26T00:35:31Z,13:39,172,6315,206724,4FgntfRhdQ4,https://www.youtube.com/watch?v=4FgntfRhdQ4
39 KILL GAME IN VALORANT,iiTzTimmy,2020-04-10T18:51:35Z,10:4,48,806,30769,Q9r7w93g8Uw,https://www.youtube.com/watch?v=Q9r7w93g8Uw
RANK #1 VALORANT PLAYER IN THE ENTIRE WORLD *NOT CLICKBAIT*,iiTzTimmy,2022-02-02T23:00:09Z,9:58,239,12683,403186,SxJuInLGsys,https://www.youtube.com/watch?v=SxJuInLGsys
JETT-ING MY WAY TO TOP 100 RADIANT,iiTzTimmy,2022-02-07T23:00:03Z,14:48,96,8304,276469,5YxWohqKSPw,https://www.youtube.com/watch?v=5YxWohqKSPw
PLAYING VALORANT WITH KESHI,iiTzTimmy,2022-03-29T22:00:07Z,15:10,133,3990,115791,8BfxegLbzRA,https://www.youtube.com/watch?v=8BfxegLbzRA
THEY THOUGHT I WAS HACKING,iiTzTimmy,2020-05-18T21:00:14Z,10:39,23,386,10154,uMXQu2GmTyY,https://www.youtube.com/watch?v=uMXQu2GmTyY
I FOUND THE PERFECT CROSSHAIR !!! | SEN TenZ,TenZ,2022-11-27T01:02:03Z,9:48,334,11273,241377,_QDQ9oockWk,https://www.youtube.com/watch?v=_QDQ9oockWk
SEN TenZ TRIES *NEW* AGENT HARBOR FOR FIRST TIME !!!,TenZ,2022-10-30T00:57:43Z,9:29,292,14670,332347,YJyaei8DKVA,https://www.youtube.com/watch?v=YJyaei8DKVA
HOW TO GET RADIANT IN 1 MATCH !!! | SEN TenZ,TenZ,2022-11-20T01:34:48Z,9:30,373,9254,221918,_249bkFgf2w,https://www.youtube.com/watch?v=_249bkFgf2w
IM BECOMING A YORU MAIN ??? | C9 TenZ,TenZ,2021-01-26T22:20:29Z,9:54,482,27713,863635,wZ3AQXB8Vj4,https://www.youtube.com/watch?v=wZ3AQXB8Vj4
TENZ & KYEDAE 1v1 REMATCH IN VALORANT !!!,TenZ,2022-09-29T00:01:18Z,11:52,720,36795,800380,FnbTxyJ4jGA,https://www.youtube.com/watch?v=FnbTxyJ4jGA
THE VALORANT DREAM TEAM ??? | SEN TenZ,TenZ,2022-07-27T00:02:58Z,10:25,430,26740,650056,bnL9KsR4HM4,https://www.youtube.com/watch?v=bnL9KsR4HM4
SEN TenZ *NEW* MOUSE GRIP !!!,TenZ,2022-10-24T00:04:44Z,10:15,653,15967,444683,mD732CVqDmA,https://www.youtube.com/watch?v=mD732CVqDmA
HOW TO WIN ON FRACTURE EVERYTIME !!! | SEN TenZ,TenZ,2022-06-29T23:23:05Z,10:44,307,14034,337653,ZQGVDX42TB0,https://www.youtube.com/watch?v=ZQGVDX42TB0
SEN TenZ SMURFING IN VALORANT !!!,TenZ,2021-10-27T20:09:09Z,10:34,739,33282,878973,q2PIIMt-zas,https://www.youtube.com/watch?v=q2PIIMt-zas
SEN TenZ ULTIMATE KAYO GUIDE !!!,TenZ,2022-11-08T02:25:00Z,10:21,282,7916,179131,8DrfTBHvj9Y,https://www.youtube.com/watch?v=8DrfTBHvj9Y
This is what 5000 hours of Raze looks like on Valorant,Flights,2021-12-16T15:30:07Z,7:2,1803,108591,3150563,_ycFZvVLyJQ,https://www.youtube.com/watch?v=_ycFZvVLyJQ
Confusing Radiant Streamers with Movement on Valorant,Flights,2022-05-24T14:00:35Z,7:12,2925,119430,3424200,K60xur_5IIQ,https://www.youtube.com/watch?v=K60xur_5IIQ
This is what a RADIANT Raze player looks like...,Flights,2022-04-06T14:29:16Z,8:9,1164,54467,1439448,ORaNu0juKw4,https://www.youtube.com/watch?v=ORaNu0juKw4
What 2000 hours of Aggressive plays look like on Valorant,Flights,2021-06-07T16:11:59Z,9:1,1001,49687,1373577,k2ZV8ZKTXuo,https://www.youtube.com/watch?v=k2ZV8ZKTXuo
